Category: All categories

Region,Keto diet: (1/1/20 - 12/29/20)
Northwest Territories,100
Newfoundland and Labrador,82
Nova Scotia,67
Manitoba,61
New Brunswick,61
Ontario,60
Saskatchewan,58
Alberta,57
British Columbia,55
Nunavut,44
Prince Edward Island,43
Yukon Territory,35
Québec,24
